,ZZ_XREF3,category_history
17,others,0.26779624893435633
15,PROF BATTE,0.0640074211502783
3,PHC,0.11814305562209552
13,PGP,0.282934963868816
16,MULTI PAPE,0.4260752688172043
5,MULTI HABA,0.04759232237063644
0,MULTI GROH,0.1632506979074706
4,MULTI GROC,0.22681636618806003
9,HAIR,0.22703379224030037
11,GROOMING,0.20507324044301536
12,FEM CARE,0.22964049889948643
6,FAMILY,0.3434174339351907
1,FABRIC,0.3844269691891195
10,COSMETICS,0.44436519258202567
8,BEAUTY,0.19031692944736422
14,BATTERIES,0.13894324853228962
7,BABY,0.1755127602943479
2,APPLIANCE,0.0027301733495608696
