,FIN_KUNNR_hist_group,total_local_currency_mean
0,2002213849,28832.14411198603
1,2002213853,33398.394157440205
2,2002213879,46159.61906180993
3,2002213882,25801.762534435235
4,2002213887,38453.69380441865
5,2002213888,20432.302487588386
6,2002213894,26833.33408940196
7,2002213895,47389.00674519906
8,2002213896,108513.88913481691
9,2002213897,39308.17385754985
10,2002213902,36787.49365534873
11,2002213906,26208.187710862527
12,2002213909,5133.620035020113
13,2002213913,39921.08523297494
14,2002213915,4340.214256261305
15,2002213917,50263.07710033755
16,2002213918,37321.419852574276
17,2002213922,30974.651709891725
18,2002213923,5663.251512218389
19,2002213931,64758.7444341765
20,2002213946,51297.673716167854
21,2002213963,23159.83233024496
22,2002213970,20965.277471686593
23,2002213972,57514.795196982275
24,2002213973,11404.018386416878
25,2002213974,24007.896413246504
26,2002213975,61826.99284940439
27,2002213977,25010.496345850046
28,2002213981,22504.083266007383
29,2002213990,53728.31938376688
30,2002214009,59701.09416232195
31,2002214011,17453.447467348007
32,2002214022,50403.311405670036
33,2002214026,28525.643387320673
34,2002214045,34190.39014265939
35,2002214052,20163.230702357596
36,2002236721,37717.44004883407
37,2002237010,35379.79594972539
38,2002253090,65983.65204255305
39,2002253140,50341.177243695085
40,2002253223,17305.102825719103
41,2002253245,50569.52969893468
42,2002253256,11683.878784610526
43,2002253485,17864.748798470835
44,2002253691,32412.517025486373
45,2002254212,47197.280703703684
46,2002254220,13452.65490029758
47,2002254357,54693.72930425302
48,2002254378,47277.07432721714
49,2002294243,2604.712308499477
50,2002801789,135646.05
51,2002819452,74354.76142857142
52,999999999,41376.59786730434
